"","time","trap.id","nmales","ntrees"
"806",77,10,178,47
"807",81,21,276,34
"808",73,12,105,49
"809",83,18,239,16
"810",77,9,190,28
"811",77,10,189,35
"812",63,20,21,5
"813",75,18,160,20
"814",89,14,258,36
"815",94,14,336,59
"816",86,7,252,19
"817",75,10,153,33
"818",101,13,415,71
"819",66,18,18,9
"820",56,8,14,10
"821",103,5,395,67
"822",91,20,262,7
"823",83,8,231,19
"824",87,14,298,38
"825",97,16,322,47
"826",95,14,346,57
"827",78,10,218,23
"828",75,18,156,13
"829",72,12,127,25
"830",80,18,240,20
"831",102,9,337,53
"832",71,18,90,14
"833",82,7,268,19
"834",64,11,15,12
"835",70,18,77,18
"836",84,5,264,19
"837",73,18,119,13
"838",101,10,388,33
"839",89,10,284,34
"840",71,18,94,11
"841",88,18,276,19
"842",91,18,280,17
"843",75,13,155,12
"844",87,19,398,242
"845",78,10,206,21
"846",78,13,194,13
"847",86,18,248,13
"848",102,13,294,22
"849",86,5,324,49
"850",100,8,311,28
"851",112,18,644,113
"852",102,21,714,315
"853",104,7,363,35
"854",85,16,257,37
"855",100,16,326,49
"856",70,18,76,14
"857",102,10,343,37
"858",102,15,399,34
"859",97,12,341,50
"860",67,11,25,7
"861",112,10,377,60
"862",78,18,201,12
"863",83,19,245,37
"864",80,23,268,198
"865",85,10,273,31
"866",55,18,18,8
"867",72,8,93,13
"868",46,19,7,3
"869",40,23,5,2
"870",78,8,187,15
"871",44,18,7,3
"872",80,19,250,27
"873",42,18,5,4
"874",72,7,109,17
"875",69,18,55,6
"876",87,9,266,28
"877",73,10,139,17
"878",102,10,310,60
"879",82,5,257,48
"880",82,19,335,221
"881",97,7,328,36
"882",79,16,215,29
"883",82,12,286,57
"884",97,21,325,46
"885",77,8,179,40
"886",97,7,266,33
"887",100,16,513,257
"888",89,10,258,24
"889",74,18,148,10
"890",117,19,986,83
"891",69,18,55,10
"892",118,8,793,106
"893",52,18,16,7
"894",74,18,132,12
"895",77,5,167,44
"896",75,18,151,16
"897",79,14,213,43
"898",92,16,254,39
"899",79,13,204,9
"900",69,8,53,21
"901",97,23,418,226
"902",79,8,196,51
