"","time","trap.id","nmales","ntrees"
"811",76,69,127,15
"812",73,17,125,12
"813",81,80,299,201
"814",77,49,195,14
"815",76,72,52,42
"816",55,29,11,7
"817",53,62,16,5
"818",75,69,142,11
"819",73,38,126,22
"820",59,44,10,7
"821",88,69,302,13
"822",75,72,52,50
"823",73,72,30,28
"824",80,68,232,13
"825",77,50,152,13
"826",57,15,16,7
"827",79,67,227,12
"828",66,53,23,16
"829",66,9,17,14
"830",71,28,75,38
"831",78,16,189,20
"832",74,69,123,11
"833",82,28,275,49
"834",50,69,13,4
"835",55,24,11,13
"836",79,36,203,25
"837",70,50,71,12
"838",46,53,4,6
"839",66,27,17,17
"840",73,26,124,16
"841",78,38,177,21
"842",72,69,99,13
"843",71,29,73,15
"844",76,79,177,13
"845",66,49,23,8
"846",50,48,13,6
"847",75,69,111,10
"848",80,72,283,197
"849",74,28,112,15
"850",79,70,222,15
"851",75,69,125,12
"852",80,69,230,13
"853",70,60,66,10
"854",69,70,58,10
"855",75,37,153,19
"856",76,79,145,16
"857",80,28,262,57
"858",81,62,269,27
"859",53,69,9,4
"860",69,39,45,8
"861",76,36,167,17
"862",49,71,9,6
"863",71,37,84,25
"864",67,38,24,21
"865",74,69,136,13
"866",41,27,4,2
"867",70,39,79,15
"868",70,62,93,18
"869",72,26,99,31
"870",78,18,211,16
"871",73,36,106,15
"872",79,28,214,32
"873",77,69,184,13
"874",88,43,290,27
"875",60,52,17,7
"876",83,49,235,15
"877",73,69,119,16
"878",67,69,32,6
"879",74,80,135,13
"880",65,29,14,5
"881",81,69,216,17
"882",67,39,32,7
"883",72,69,116,15
"884",86,70,277,20
"885",75,79,147,13
"886",69,36,52,11
"887",77,26,168,15
"888",73,62,108,24
"889",74,17,115,13
"890",73,62,110,26
"891",72,28,113,37
"892",76,43,160,33
"893",74,36,124,33
"894",71,51,79,22
"895",69,27,50,30
"896",76,73,42,49
"897",48,39,7,3
"898",63,68,15,7
"899",75,69,169,15
"900",80,62,232,38
"901",73,59,104,17
"902",84,35,254,46
"903",70,7,76,8
"904",78,29,173,44
"905",39,36,2,2
"906",70,69,90,10
"907",70,29,59,15
"908",58,45,15,12
"909",74,69,143,17
"910",52,48,19,4
"911",95,96,448,261
"912",79,36,210,21
"913",58,43,15,12
"914",78,71,271,186
"915",76,70,169,9
"916",57,92,9,9
"917",70,69,83,11
"918",58,17,9,8
"919",70,73,14,15
"920",75,80,148,12
"921",75,39,142,14
"922",69,62,57,22
"923",71,52,88,30
"924",81,35,258,23
"925",77,62,160,32
"926",76,36,178,14
"927",75,69,156,18
"928",67,39,31,11
"929",71,69,84,13
"930",69,63,57,15
"931",74,59,144,14
"932",58,49,12,8
"933",82,70,264,11
"934",65,39,20,5
"935",77,36,151,20
"936",74,28,134,41
"937",80,29,239,66
"938",52,23,23,7
"939",37,72,2,2
"940",75,69,138,12
"941",74,10,116,22
"942",73,27,108,22
"943",71,5,73,16
"944",73,28,116,43
"945",70,62,77,20
"946",80,48,215,20
"947",75,27,188,38
"948",73,54,128,40
"949",52,59,12,8
"950",55,62,14,7
"951",73,68,124,10
"952",83,26,262,14
"953",72,69,111,15
"954",82,53,273,37
"955",72,39,96,12
"956",79,69,211,13
"957",72,27,111,15
"958",81,60,250,13
"959",53,62,6,9
"960",78,63,192,27
"961",66,37,12,7
"962",60,58,24,5
"963",37,38,1,2
"964",72,39,104,15
"965",80,26,249,19
"966",66,69,19,6
"967",78,70,213,12
"968",75,62,128,29
"969",67,69,36,12
"970",79,26,246,19
"971",71,36,89,15
"972",81,37,253,22
"973",79,69,205,18
"974",65,80,14,2
"975",61,26,12,4
"976",74,28,128,30
"977",75,69,139,14
"978",77,53,150,33
"979",58,36,10,6
"980",70,60,88,8
"981",52,47,18,6
"982",69,14,46,24
"983",72,28,113,39
"984",81,63,237,37
"985",72,36,109,9
"986",74,69,135,18
"987",84,19,271,37
"988",73,62,117,22
"989",81,70,251,18
"990",60,79,14,7
"991",64,51,12,8
"992",91,7,320,88
"993",61,26,11,8
"994",78,39,218,20
"995",69,69,46,13
"996",65,60,17,5
"997",78,72,260,177
"998",81,11,254,30
"999",65,59,12,6
"1000",50,69,14,8
"1001",75,52,153,23
"1002",78,59,181,12
"1003",72,38,105,28
"1004",68,69,46,9
"1005",77,39,203,18
"1006",54,72,17,11
"1007",81,27,222,41
"1008",60,70,15,5
"1009",78,26,178,18
"1010",72,62,84,27
"1011",68,15,36,13
"1012",55,27,10,13
"1013",78,72,248,163
"1014",85,36,282,24
"1015",78,7,201,28
"1016",80,63,214,33
"1017",64,57,12,8
"1018",75,62,34,33
"1019",65,49,20,6
"1020",43,79,6,2
"1021",71,68,76,10
"1022",75,69,157,13
"1023",72,62,109,19
"1024",59,79,11,9
"1025",46,27,5,4
"1026",76,69,186,13
"1027",76,79,188,11
"1028",54,79,16,7
"1029",74,60,145,13
"1030",71,73,81,19
"1031",68,69,45,10
"1032",79,63,202,33
"1033",80,48,223,42
"1034",77,78,182,13
"1035",69,37,50,14
"1036",81,38,237,30
"1037",78,60,183,12
"1038",74,79,143,13
"1039",76,28,149,45
"1040",73,28,126,30
"1041",76,79,158,11
"1042",62,99,10,8
"1043",64,52,6,5
"1044",70,61,66,19
"1045",82,72,302,215
"1046",70,38,76,15
"1047",39,62,3,3
"1048",60,26,17,6
"1049",74,72,37,41
"1050",73,62,112,25
"1051",63,60,19,6
"1052",70,28,60,23
"1053",75,52,154,28
"1054",53,69,11,7
"1055",79,42,213,54
"1056",54,79,16,7
"1057",71,36,81,16
"1058",75,49,140,15
"1059",70,79,70,11
"1060",41,38,4,3
"1061",69,18,53,25
"1062",70,70,84,10
"1063",55,28,15,8
"1064",75,69,137,13
"1065",69,63,44,13
"1066",67,69,22,8
"1067",58,27,16,6
"1068",77,69,180,18
"1069",80,50,252,10
"1070",61,35,9,8
"1071",72,26,108,16
"1072",81,73,332,189
"1073",72,72,27,21
"1074",43,83,7,7
"1075",74,28,141,42
"1076",69,69,46,8
"1077",80,73,272,202
"1078",73,29,118,36
"1079",84,36,248,33
"1080",78,72,254,176
"1081",68,80,34,11
"1082",48,73,5,5
"1083",53,59,12,8
"1084",75,37,158,44
"1085",78,73,235,163
"1086",55,69,9,6
"1087",60,37,9,9
"1088",81,37,261,20
"1089",62,79,16,5
"1090",73,100,33,25
"1091",77,80,199,13
"1092",73,62,122,25
"1093",68,68,41,8
"1094",80,28,239,43
"1095",111,78,291,21
"1096",70,70,64,9
"1097",81,59,271,14
"1098",83,53,273,35
"1099",77,56,194,48
"1100",70,68,60,9
"1101",75,69,151,12
"1102",73,79,120,18
"1103",73,72,22,39
"1104",69,62,54,18
"1105",71,33,87,19
"1106",60,70,14,5
"1107",78,59,207,14
"1108",79,28,198,52
"1109",74,51,133,16
"1110",79,72,204,39
"1111",69,28,50,29
"1112",67,34,31,16
"1113",79,33,221,39
"1114",79,26,191,14
"1115",50,59,14,5
"1116",43,69,5,3
"1117",79,88,261,185
"1118",51,69,14,7
"1119",76,62,169,29
"1120",72,69,103,18
"1121",71,71,106,18
"1122",52,69,14,4
"1123",74,36,144,16
"1124",50,28,21,7
"1125",72,69,109,18
"1126",45,80,5,4
"1127",67,60,21,7
"1128",83,61,285,27
"1129",76,69,171,12
"1130",80,69,242,12
"1131",75,63,157,31
"1132",74,7,132,9
"1133",72,90,29,29
"1134",78,27,195,42
"1135",81,27,241,53
"1136",77,68,180,17
"1137",82,82,313,223
"1138",77,70,162,14
"1139",69,22,55,19
"1140",52,83,6,3
"1141",70,51,76,19
"1142",83,5,276,32
"1143",65,29,13,8
"1144",59,27,20,7
"1145",43,28,3,4
"1146",54,39,13,5
"1147",67,62,27,7
"1148",68,69,45,8
"1149",73,26,125,18
"1150",88,37,262,18
"1151",78,72,251,199
"1152",74,36,152,13
"1153",50,62,15,7
"1154",73,63,143,22
"1155",76,62,169,26
"1156",82,69,256,16
"1157",80,69,240,18
"1158",74,69,134,17
"1159",49,62,9,2
"1160",72,72,31,14
"1161",60,62,11,7
"1162",72,28,88,36
"1163",59,79,20,8
"1164",70,69,59,10
"1165",86,49,294,19
"1166",70,28,74,15
